Plataforma;Nome_Item;Quantidade
PMXL-1;JOGO DE CHAVE COMBINADA 6 À 22mm;1.0
PMXL-1;ETIQUETADORA METÁLICA;1.0
PMXL-1;MULTÍMETRO DIGITAL;1.0
PMXL-1;ALICATE CRIMPAR CABO COAXIAL;1.0
PMXL-1;IDENTIFICADOR/LOCALIZADOR DE CABOS - COBRE;1.0
PMXL-1;CHAVE PHILIPS ISOLADA 1/8x3.1/8mm;1.0
PMXL-1;CHAVE FENDA SIMPLES 1/2x12mm;1.0
PMXL-1;CHAVE DE FENDA ISOLADA 1/4x4mm;1.0
PMXL-1;JOGO DE CHAVE CATRACA SOQUETES ESTRIADOS 10mm a 32mm;1.0
PMXL-1;JOGO CHAVE CATRACA MINI -  40 PÇS;1.0
PMXL-1;CHAVE INGLESA 8;1.0
PMXL-1;CHAVE L FIXA 17mm;1.0
PMXL-1;ALICATE CORTA CABO 300mm²;1.0
PMXL-1;ALICATE CRIMPADOR RJ45;1.0
PMXL-1;ALICATE CRIMPAR CABO COAXIAL;1.0
PMXL-1;ALICATE PRENSA TERMINAIS 0,5 - 6mm;2.0
PMXL-1;CHAVE INGLESA 12;1.0
PMXL-1;CHAVE CANHÃO 6mm;1.0
PMXL-1;CHAVE CANHÃO 11mm;1.0
PMXL-1;CHAVE CANHÃO 10mm;1.0
PMXL-1;CHAVE PHILIPS ISOLADA 3/16x4mm;2.0
PMXL-1;CHAVE CANHÃO 13mm;1.0
PMXL-1;CHAVE INGLESA 6;1.0
PMXL-1;JOGO DE CHAVE DE BORNES 6 PÇS;1.0
PMXL-1;CHAVE TORK T25;1.0
PMXL-1;CHAVE TORK T27 EM L;2.0
PMXL-1;LIMA REDONDA;1.0
PMXL-1;SUGADOR DE SOLDA;1.0
PMXL-1;ALICATE DE CORTE DIAGONAL TAM6;1.0
PMXL-1;ARCO DE SERRA;1.0
PMXL-1;CHAVE CANHÃO 8mm;1.0
PMXL-1;CHAVE PHILIPS ISOLADA 5/16x6mm;1.0
PMXL-1;FERRO DE SOLDA 60W;1.0
PMXL-1;CHAVE DE FENDA 1/4x8mm;1.0
PMXL-1;CHAVE DE FENDA 1/4x5mm;1.0
PMXL-1;CHAVE DE FENDA ISOLADA 1/4x6mm;1.0
PMXL-1;CHAVE DE FENDA ISOLADA 1/8x3mm;1.0
PMXL-1;EXTENSÃO 2,5mm - 10M;1.0
PMXL-1;TRENA 10M;1.0
PMXL-1;CHAVE TORK T15;1.0
PMXL-1;CHAVE TORK T20;1.0
PMXL-1;BADISCO;1.0
PMXL-1;ALICATE DE CORTE TAM 4;1.0
PMXL-1;ALICATE PRENSA TERMINAL TUBULAR 6 - 16mm²;1.0
PMXL-1;DECAPADOR CABO COAXIAL;1.0
PMXL-1;JOGO DE CHAVE COMBINADA 6 À 22mm;1.0
PMXL-1;LANTERNA LED;1.0
PMXL-1;JOGO CHAVE TORK L;1.0
PMXL-1;CHAVE PHILIPS ISOLADA 3/16x3mm;1.0
PMXL-1;CHAVE DE FENDA ISOLADA 3/8x8mm;1.0
PMXL-1;CHAVE CANHÃO 12mm;1.0
PMXL-1;TERMÔMETRO INFRAVERMELHO;1.0
PMXL-1;IMPEDANCIMETRO GOLDLINE ZM1P;1.0
PMXL-1;ETIQUETADORA METÁLICA;1.0
PMXL-1;WATTIMETRO ANALÓGICO E DIGITAL BIRD 43 PRO;1.0
PMXL-1;CARGA RESISTIVA 50ohms 100W;1.0
PMXL-1;MEGOMETRO MI-2552;1.0
PMXL-1;TESTADOR MULTIFUNCIONAL CFTV SECURE TEST IP R171000;1.0
PMXL-1;MULTIMEDIDOR DE REDE NAVITEK NT R153001;1.0
UMLI;CHAVE DE FENDA ISOLADA 3/8x8mm;2.0
UMLI;CHAVE DE FENDA ISOLADA 1/8x3mm;2.0
UMLI;DECAPADOR CABO COAXIAL;1.0
UMLI;ALICATE PRENSA TERMINAIS 0,5 - 6mm;1.0
UMLI;MULTÍMETRO DIGITAL;1.0
UMLI;ALICATE CRIMPADOR RJ45;1.0
UMLI;CHAVE L FIXA 17mm;2.0
UMLI;ALICATE DE PRESSÃO 10`;2.0
UMLI;CHAVE PHILIPS ISOLADA 3/16x4mm;2.0
UMLI;SUGADOR DE SOLDA;2.0
UMLI;JOGO CHAVE ALLEN L;1.0
UMLI;ALICATE UNIVERSAL;1.0
UMLI;FERRO DE SOLDA 60W;1.0
UMLI;ALICATE CRIMPADOR RJ11, RJ12 E RJ45;1.0
UMLI;ALICATE UNIVERSAL;1.0
UMLI;JOGO DE CHAVE DE BORNES 6 PÇS;1.0
380-UMVV;IDENTIFICADOR/LOCALIZADOR DE CABOS - COBRE;1.0
380-UMVV;MULTÍMETRO DIGITAL;1.0
380-UMVV;ALICATE BICO TAM 6;1.0
380-UMVV;ALICATE CRIMPADOR RJ11, RJ12 E RJ45;2.0
380-UMVV;ALICATE DE CORTE TAM 4;1.0
380-UMVV;ALICATE DE PRESSÃO 10`;1.0
380-UMVV;ALICATE PRENSA TERMINAIS 0,5 - 6mm;1.0
380-UMVV;ALICATE UNIVERSAL;1.0
380-UMVV;CHAVE DE FENDA 1/8x3mm;1.0
380-UMVV;CHAVE FENDA SIMPLES 3/8x8mm;1.0
380-UMVV;CHAVE L FIXA 17mm;1.0
380-UMVV;CHAVE PHILIPS 1/4x5mm;1.0
380-UMVV;CHAVE PHILIPS 3/16x4mm;1.0
380-UMVV;DECAPADOR CABO COAXIAL;1.0
380-UMVV;JOGO CHAVE ALLEN L;1.0
380-UMVV;SUGADOR DE SOLDA;1.0
